state,date,ML,Low_90,High_90,Low_50,High_50
Romania_CODE,2020-05-29,0.8,0.21,1.34,0.49,0.97
Romania_CODE,2020-05-30,0.71,0.1,1.22,0.4,0.88
Romania_CODE,2020-05-31,0.64,0.05,1.1500000000000001,0.33,0.81
Romania_CODE,2020-06-01,0.75,0.13,1.29,0.48,0.97
Romania_CODE,2020-06-02,0.96,0.31,1.52,0.68,1.18
Romania_CODE,2020-06-03,1.24,0.59,1.79,0.97,1.46
Romania_CODE,2020-06-04,1.3800000000000001,0.76,1.92,1.08,1.56
Romania_CODE,2020-06-05,1.28,0.6900000000000001,1.82,0.98,1.45
Romania_CODE,2020-06-06,1.1,0.49,1.62,0.87,1.33
Romania_CODE,2020-06-07,0.9400000000000001,0.33,1.46,0.64,1.11
Romania_CODE,2020-06-08,0.89,0.28,1.42,0.63,1.1
Romania_CODE,2020-06-09,1.04,0.44,1.59,0.73,1.21
Romania_CODE,2020-06-10,1.29,0.67,1.81,1.0,1.47
Romania_CODE,2020-06-11,1.54,0.9400000000000001,2.04,1.28,1.73
Romania_CODE,2020-06-12,1.55,0.97,2.0300000000000002,1.26,1.7
Romania_CODE,2020-06-13,1.45,0.9,1.93,1.17,1.6
Romania_CODE,2020-06-14,1.35,0.8300000000000001,1.84,1.09,1.51
Romania_CODE,2020-06-15,1.28,0.76,1.76,1.06,1.47
Romania_CODE,2020-06-16,1.31,0.79,1.78,1.05,1.46
Romania_CODE,2020-06-17,1.35,0.8200000000000001,1.8,1.12,1.52
Romania_CODE,2020-06-18,1.33,0.81,1.77,1.06,1.46
Romania_CODE,2020-06-19,1.25,0.73,1.68,1.01,1.4000000000000001
Romania_CODE,2020-06-20,1.02,0.51,1.46,0.79,1.18
Romania_CODE,2020-06-21,0.85,0.33,1.29,0.59,0.99
Romania_CODE,2020-06-22,0.9400000000000001,0.42,1.3900000000000001,0.7000000000000001,1.1
Romania_CODE,2020-06-23,1.1400000000000001,0.64,1.6,0.88,1.28
Romania_CODE,2020-06-24,1.31,0.8200000000000001,1.76,1.07,1.46
Romania_CODE,2020-06-25,1.34,0.86,1.78,1.11,1.49
Romania_CODE,2020-06-26,1.22,0.73,1.6400000000000001,0.97,1.35
Romania_CODE,2020-06-27,1.06,0.56,1.47,0.8,1.18
Romania_CODE,2020-06-28,0.88,0.38,1.3,0.64,1.02
Romania_CODE,2020-06-29,0.91,0.41000000000000003,1.34,0.7000000000000001,1.08
Romania_CODE,2020-06-30,1.11,0.64,1.56,0.89,1.27
Romania_CODE,2020-07-01,1.3,0.8,1.71,1.1,1.47
Romania_CODE,2020-07-02,1.35,0.89,1.77,1.1,1.47
Romania_CODE,2020-07-03,1.19,0.73,1.6,0.97,1.33
Romania_CODE,2020-07-04,1.0,0.52,1.4000000000000001,0.79,1.1500000000000001
Romania_CODE,2020-07-05,1.02,0.55,1.43,0.8200000000000001,1.18
Romania_CODE,2020-07-06,1.16,0.71,1.58,0.9400000000000001,1.3
Romania_CODE,2020-07-07,1.43,0.99,1.84,1.23,1.58
Romania_CODE,2020-07-08,1.7,1.25,2.07,1.48,1.82
Romania_CODE,2020-07-09,1.6300000000000001,1.19,1.98,1.46,1.78
Romania_CODE,2020-07-10,1.41,1.0,1.77,1.2,1.52
Romania_CODE,2020-07-11,1.17,0.77,1.53,0.9500000000000001,1.27
Romania_CODE,2020-07-12,0.99,0.58,1.35,0.78,1.1
Romania_CODE,2020-07-13,1.07,0.65,1.42,0.86,1.18
Romania_CODE,2020-07-14,1.3,0.88,1.6400000000000001,1.12,1.43
Romania_CODE,2020-07-15,1.51,1.1400000000000001,1.87,1.34,1.6400000000000001
Romania_CODE,2020-07-16,1.6,1.21,1.92,1.43,1.72
Romania_CODE,2020-07-17,1.46,1.08,1.77,1.26,1.55
Romania_CODE,2020-07-18,1.33,0.96,1.6400000000000001,1.1500000000000001,1.43
Romania_CODE,2020-07-19,1.28,0.92,1.59,1.09,1.37
Romania_CODE,2020-07-20,1.33,0.97,1.6300000000000001,1.17,1.44
Romania_CODE,2020-07-21,1.42,1.08,1.72,1.24,1.51
Romania_CODE,2020-07-22,1.51,1.19,1.81,1.34,1.6
Romania_CODE,2020-07-23,1.49,1.1500000000000001,1.76,1.33,1.58
Romania_CODE,2020-07-24,1.3800000000000001,1.07,1.6600000000000001,1.2,1.45
Romania_CODE,2020-07-25,1.19,0.86,1.45,1.05,1.29
Romania_CODE,2020-07-26,1.08,0.76,1.35,0.9500000000000001,1.19
Romania_CODE,2020-07-27,1.08,0.75,1.34,0.9400000000000001,1.18
Romania_CODE,2020-07-28,1.11,0.8,1.3800000000000001,0.96,1.2
Romania_CODE,2020-07-29,1.1300000000000001,0.81,1.3900000000000001,0.97,1.21
Romania_CODE,2020-07-30,1.1,0.81,1.3800000000000001,0.9400000000000001,1.18
Romania_CODE,2020-07-31,0.92,0.6,1.18,0.76,1.0
Romania_CODE,2020-08-01,0.8300000000000001,0.53,1.11,0.68,0.92
Romania_CODE,2020-08-02,0.8200000000000001,0.5,1.09,0.64,0.89
Romania_CODE,2020-08-03,0.92,0.62,1.21,0.75,1.0
Romania_CODE,2020-08-04,1.1500000000000001,0.8300000000000001,1.42,1.01,1.25
Romania_CODE,2020-08-05,1.3,0.98,1.56,1.1400000000000001,1.3800000000000001
Romania_CODE,2020-08-06,1.27,0.9500000000000001,1.52,1.1500000000000001,1.3800000000000001
Romania_CODE,2020-08-07,1.04,0.75,1.31,0.91,1.1400000000000001
Romania_CODE,2020-08-08,0.81,0.51,1.08,0.65,0.89
Romania_CODE,2020-08-09,0.77,0.46,1.04,0.62,0.86
Romania_CODE,2020-08-10,0.91,0.58,1.17,0.77,1.01
Romania_CODE,2020-08-11,1.1300000000000001,0.8200000000000001,1.4000000000000001,0.98,1.22
Romania_CODE,2020-08-12,1.29,0.97,1.54,1.12,1.36
Romania_CODE,2020-08-13,1.24,0.93,1.49,1.1,1.33
Romania_CODE,2020-08-14,0.99,0.68,1.24,0.85,1.08
Romania_CODE,2020-08-15,0.66,0.36,0.93,0.5,0.74
Romania_CODE,2020-08-16,0.59,0.26,0.85,0.45,0.6900000000000001
Romania_CODE,2020-08-17,0.73,0.4,1.0,0.56,0.81
Romania_CODE,2020-08-18,1.04,0.71,1.31,0.87,1.12
Romania_CODE,2020-08-19,1.26,0.96,1.54,1.12,1.36
Romania_CODE,2020-08-20,1.24,0.9400000000000001,1.51,1.08,1.32
Romania_CODE,2020-08-21,1.02,0.72,1.29,0.86,1.1
Romania_CODE,2020-08-22,0.74,0.43,1.01,0.59,0.8300000000000001
Romania_CODE,2020-08-23,0.62,0.3,0.9,0.46,0.71
Romania_CODE,2020-08-24,0.85,0.52,1.1300000000000001,0.7000000000000001,0.9500000000000001
