date,state,cases
2020-04-07,HR,3
2020-04-07,HD,158
2020-04-07,IL,72
2020-04-07,IS,92
2020-04-07,IF,99
2020-04-07,MM,46
2020-04-07,MH,13
2020-04-07,MS,92
2020-04-07,NT,182
2020-04-07,OT,11
2020-04-07,PH,36
2020-04-07,SM,27
2020-04-07,SJ,11
2020-04-07,SB,69
2020-04-07,SV,1322
2020-04-07,TR,31
2020-04-07,TM,191
2020-04-07,TL,6
2020-04-07,VS,15
2020-04-07,VL,9
2020-04-07,VN,79
2020-04-07,B,598
2020-04-08,AB,83
2020-04-08,AR,161
2020-04-08,AG,33
2020-04-08,BC,51
2020-04-08,BH,58
2020-04-08,BN,72
2020-04-08,BT,88
2020-04-08,BV,161
2020-04-08,BR,14
2020-04-08,BZ,13
2020-04-08,CS,28
2020-04-08,CL,35
2020-04-08,CJ,129
2020-04-08,CT,119
2020-04-08,CV,57
2020-04-08,DB,27
2020-04-08,DJ,39
2020-04-08,GL,133
2020-04-08,GR,36
2020-04-08,GJ,8
2020-04-08,HR,3
2020-04-08,HD,174
2020-04-08,IL,79
2020-04-08,IS,106
2020-04-08,IF,99
2020-04-08,MM,46
2020-04-08,MH,13
2020-04-08,MS,103
2020-04-08,NT,196
2020-04-08,OT,12
2020-04-08,PH,36
2020-04-08,SM,27
2020-04-08,SJ,11
2020-04-08,SB,72
2020-04-08,SV,1430
2020-04-08,TR,36
2020-04-08,TM,227
2020-04-08,TL,10
2020-04-08,VS,17
2020-04-08,VL,9
2020-04-08,VN,90
2020-04-08,B,637
2020-04-09,AB,90
2020-04-09,AR,162
2020-04-09,AG,33
2020-04-09,BC,56
2020-04-09,BH,66
2020-04-09,BN,76
2020-04-09,BT,106
2020-04-09,BV,175
2020-04-09,BR,16
2020-04-09,BZ,13
2020-04-09,CS,34
2020-04-09,CL,35
2020-04-09,CJ,148
2020-04-09,CT,124
2020-04-09,CV,62
2020-04-09,DB,28
2020-04-09,DJ,39
2020-04-09,GL,175
2020-04-09,GR,46
2020-04-09,GJ,9
2020-04-09,HR,4
2020-04-09,HD,212
2020-04-09,IL,81
2020-04-09,IS,131
2020-04-09,IF,107
2020-04-09,MM,46
2020-04-09,MH,15
2020-04-09,MS,146
2020-04-09,NT,202
2020-04-09,OT,12
2020-04-09,PH,36
2020-04-09,SM,28
2020-04-09,SJ,12
2020-04-09,SB,90
2020-04-09,SV,1487
2020-04-09,TR,41
2020-04-09,TM,252
2020-04-09,TL,11
2020-04-09,VS,36
2020-04-09,VL,11
2020-04-09,VN,95
2020-04-09,B,659
2020-04-10,AB,100
2020-04-10,AR,179
2020-04-10,AG,52
2020-04-10,BC,58
2020-04-10,BH,70
2020-04-10,BN,78
2020-04-10,BT,119
2020-04-10,BV,190
2020-04-10,BR,16
2020-04-10,BZ,13
2020-04-10,CS,38
2020-04-10,CL,35
2020-04-10,CJ,152
2020-04-10,CT,124
2020-04-10,CV,79
2020-04-10,DB,30
2020-04-10,DJ,40
2020-04-10,GL,182
2020-04-10,GR,46
2020-04-10,GJ,10
2020-04-10,HR,5
2020-04-10,HD,227
2020-04-10,IL,85
2020-04-10,IS,131
2020-04-10,IF,115
2020-04-10,MM,46
2020-04-10,MH,16
2020-04-10,MS,161
2020-04-10,NT,234
2020-04-10,OT,12
2020-04-10,PH,38
2020-04-10,SM,30
2020-04-10,SJ,13
2020-04-10,SB,94
2020-04-10,SV,1529
2020-04-10,TR,56
2020-04-10,TM,259
2020-04-10,TL,12
2020-04-10,VS,36
2020-04-10,VL,11
2020-04-10,VN,95
2020-04-10,B,688
2020-04-11,AB,103
2020-04-11,AR,229
2020-04-11,AG,52
2020-04-11,BC,65
2020-04-11,BH,83
2020-04-11,BN,82
2020-04-11,BT,155
2020-04-11,BV,219
2020-04-11,BR,16
2020-04-11,BZ,13
2020-04-11,CS,48
2020-04-11,CL,35
2020-04-11,CJ,177
2020-04-11,CT,155
2020-04-11,CV,91
2020-04-11,DB,30
2020-04-11,DJ,43
2020-04-11,GL,183
2020-04-11,GR,47
2020-04-11,GJ,10
2020-04-11,HR,6
2020-04-11,HD,254
2020-04-11,IL,89
2020-04-11,IS,131
2020-04-11,IF,117
2020-04-11,MM,46
2020-04-11,MH,17
2020-04-11,MS,203
2020-04-11,NT,265
2020-04-11,OT,12
2020-04-11,PH,39
2020-04-11,SM,32
2020-04-11,SJ,13
2020-04-11,SB,101
2020-04-11,SV,1614
2020-04-11,TR,59
2020-04-11,TM,275
2020-04-11,TL,13
2020-04-11,VS,38
2020-04-11,VL,13
2020-04-11,VN,116
2020-04-11,B,730
2020-04-12,AB,108
2020-04-12,AR,249
2020-04-12,AG,57
2020-04-12,BC,69
2020-04-12,BH,83
2020-04-12,BN,82
2020-04-12,BT,156
2020-04-12,BV,238
2020-04-12,BR,16
2020-04-12,BZ,13
2020-04-12,CS,51
2020-04-12,CL,35
2020-04-12,CJ,183
2020-04-12,CT,157
2020-04-12,CV,117
2020-04-12,DB,30
2020-04-12,DJ,43
2020-04-12,GL,190
2020-04-12,GR,49
2020-04-12,GJ,10
2020-04-12,HR,7
2020-04-12,HD,303
2020-04-12,IL,100
2020-04-12,IS,131
2020-04-12,IF,119
2020-04-12,MM,49
2020-04-12,MH,17
2020-04-12,MS,217
2020-04-12,NT,285
2020-04-12,OT,12
2020-04-12,PH,39
2020-04-12,SM,37
2020-04-12,SJ,17
2020-04-12,SB,109
2020-04-12,SV,1661
2020-04-12,TR,62
2020-04-12,TM,284
2020-04-12,TL,14
2020-04-12,VS,40
2020-04-12,VL,13
2020-04-12,VN,117
2020-04-12,B,751
2020-04-13,AB,109
2020-04-13,AR,270
2020-04-13,AG,57
2020-04-13,BC,76
2020-04-13,BH,176
2020-04-13,BN,82
2020-04-13,BT,156
2020-04-13,BV,253
2020-04-13,BR,16
2020-04-13,BZ,13
2020-04-13,CS,53
2020-04-13,CL,39
2020-04-13,CJ,187
2020-04-13,CT,157
2020-04-13,CV,123
2020-04-13,DB,31
2020-04-13,DJ,44
2020-04-13,GL,195
2020-04-13,GR,64
2020-04-13,GJ,10
2020-04-13,HR,7
2020-04-13,HD,303
2020-04-13,IL,102
2020-04-13,IS,131
2020-04-13,IF,126
2020-04-13,MM,49
2020-04-13,MH,19
2020-04-13,MS,222
2020-04-13,NT,286
2020-04-13,OT,12
2020-04-13,PH,39
2020-04-13,SM,37
2020-04-13,SJ,17
2020-04-13,SB,111
2020-04-13,SV,1731
